model_name,pair_name,expected_relationship,sample_id_a,sample_id_b,text_a,text_b,category_a,category_b,cosine_similarity
spacy_en_core_web_md,Cease matchup vs McLean matchup,high,cease_matchup,mclean_matchup,"Dylan Cease, Toronto Blue Jays (@ Angels, vs Guardians)","Nolan McLean, New York Mets (vs Twins, vs Rockies)",pitcher_matchup_line,pitcher_matchup_line,0.8414
amazon_titan_v2_256d,Cease matchup vs McLean matchup,high,cease_matchup,mclean_matchup,"Dylan Cease, Toronto Blue Jays (@ Angels, vs Guardians)","Nolan McLean, New York Mets (vs Twins, vs Rockies)",pitcher_matchup_line,pitcher_matchup_line,0.4185
amazon_titan_v2_512d,Cease matchup vs McLean matchup,high,cease_matchup,mclean_matchup,"Dylan Cease, Toronto Blue Jays (@ Angels, vs Guardians)","Nolan McLean, New York Mets (vs Twins, vs Rockies)",pitcher_matchup_line,pitcher_matchup_line,0.2772
amazon_titan_v2_1024d,Cease matchup vs McLean matchup,high,cease_matchup,mclean_matchup,"Dylan Cease, Toronto Blue Jays (@ Angels, vs Guardians)","Nolan McLean, New York Mets (vs Twins, vs Rockies)",pitcher_matchup_line,pitcher_matchup_line,0.253
spacy_en_core_web_md,McLean matchup vs must-start ranking,high,mclean_matchup,must_start_rank,"Nolan McLean, New York Mets (vs Twins, vs Rockies)","Must-start, all formats: Nolan McLean SP NYM vs Minnesota and vs Colorado.",pitcher_matchup_line,two_start_ranking,0.8833
amazon_titan_v2_256d,McLean matchup vs must-start ranking,high,mclean_matchup,must_start_rank,"Nolan McLean, New York Mets (vs Twins, vs Rockies)","Must-start, all formats: Nolan McLean SP NYM vs Minnesota and vs Colorado.",pitcher_matchup_line,two_start_ranking,0.6659
amazon_titan_v2_512d,McLean matchup vs must-start ranking,high,mclean_matchup,must_start_rank,"Nolan McLean, New York Mets (vs Twins, vs Rockies)","Must-start, all formats: Nolan McLean SP NYM vs Minnesota and vs Colorado.",pitcher_matchup_line,two_start_ranking,0.6695
amazon_titan_v2_1024d,McLean matchup vs must-start ranking,high,mclean_matchup,must_start_rank,"Nolan McLean, New York Mets (vs Twins, vs Rockies)","Must-start, all formats: Nolan McLean SP NYM vs Minnesota and vs Colorado.",pitcher_matchup_line,two_start_ranking,0.6486
spacy_en_core_web_md,McLean outlook vs McLean FPTS projection,high,mclean_outlook,fpts_projection_high,"McLean gets two optimal teams next week, with the Twins ranking 10th in strikeouts and the Rockies ranking first.","April 26 vs Rockies - Nolan McLean (R), 16.0 FPTS",two_start_pitcher_note,projected_fantasy_points,0.5587
amazon_titan_v2_256d,McLean outlook vs McLean FPTS projection,high,mclean_outlook,fpts_projection_high,"McLean gets two optimal teams next week, with the Twins ranking 10th in strikeouts and the Rockies ranking first.","April 26 vs Rockies - Nolan McLean (R), 16.0 FPTS",two_start_pitcher_note,projected_fantasy_points,0.4216
amazon_titan_v2_512d,McLean outlook vs McLean FPTS projection,high,mclean_outlook,fpts_projection_high,"McLean gets two optimal teams next week, with the Twins ranking 10th in strikeouts and the Rockies ranking first.","April 26 vs Rockies - Nolan McLean (R), 16.0 FPTS",two_start_pitcher_note,projected_fantasy_points,0.3756
amazon_titan_v2_1024d,McLean outlook vs McLean FPTS projection,high,mclean_outlook,fpts_projection_high,"McLean gets two optimal teams next week, with the Twins ranking 10th in strikeouts and the Rockies ranking first.","April 26 vs Rockies - Nolan McLean (R), 16.0 FPTS",two_start_pitcher_note,projected_fantasy_points,0.3385
spacy_en_core_web_md,Streamer note vs Avoid note,high,streamer_definition,avoid_definition,"The Streamer tier includes pitchers who can produce decent stats, but the matchups are not ideal, so start at your own risk.",The Avoid tier includes pitchers with terrible matchups or who have been pitching badly and can be left on the bench.,strategy_note,strategy_note,0.9419
amazon_titan_v2_256d,Streamer note vs Avoid note,high,streamer_definition,avoid_definition,"The Streamer tier includes pitchers who can produce decent stats, but the matchups are not ideal, so start at your own risk.",The Avoid tier includes pitchers with terrible matchups or who have been pitching badly and can be left on the bench.,strategy_note,strategy_note,0.6091
amazon_titan_v2_512d,Streamer note vs Avoid note,high,streamer_definition,avoid_definition,"The Streamer tier includes pitchers who can produce decent stats, but the matchups are not ideal, so start at your own risk.",The Avoid tier includes pitchers with terrible matchups or who have been pitching badly and can be left on the bench.,strategy_note,strategy_note,0.5247
amazon_titan_v2_1024d,Streamer note vs Avoid note,high,streamer_definition,avoid_definition,"The Streamer tier includes pitchers who can produce decent stats, but the matchups are not ideal, so start at your own risk.",The Avoid tier includes pitchers with terrible matchups or who have been pitching badly and can be left on the bench.,strategy_note,strategy_note,0.4833
spacy_en_core_web_md,Cease matchup vs ad text,low,cease_matchup,ad_text,"Dylan Cease, Toronto Blue Jays (@ Angels, vs Guardians)",The video player is currently playing an ad. You can skip the ad in 5 sec with a mouse or keyboard.,pitcher_matchup_line,out_of_scope_ui_text,0.6611
amazon_titan_v2_256d,Cease matchup vs ad text,low,cease_matchup,ad_text,"Dylan Cease, Toronto Blue Jays (@ Angels, vs Guardians)",The video player is currently playing an ad. You can skip the ad in 5 sec with a mouse or keyboard.,pitcher_matchup_line,out_of_scope_ui_text,0.2656
amazon_titan_v2_512d,Cease matchup vs ad text,low,cease_matchup,ad_text,"Dylan Cease, Toronto Blue Jays (@ Angels, vs Guardians)",The video player is currently playing an ad. You can skip the ad in 5 sec with a mouse or keyboard.,pitcher_matchup_line,out_of_scope_ui_text,0.1232
amazon_titan_v2_1024d,Cease matchup vs ad text,low,cease_matchup,ad_text,"Dylan Cease, Toronto Blue Jays (@ Angels, vs Guardians)",The video player is currently playing an ad. You can skip the ad in 5 sec with a mouse or keyboard.,pitcher_matchup_line,out_of_scope_ui_text,0.0866
spacy_en_core_web_md,McLean FPTS projection vs Join the Conversation,low,fpts_projection_high,conversation_prompt,"April 26 vs Rockies - Nolan McLean (R), 16.0 FPTS",Join the Conversation,projected_fantasy_points,out_of_scope_ui_text,0.2992
amazon_titan_v2_256d,McLean FPTS projection vs Join the Conversation,low,fpts_projection_high,conversation_prompt,"April 26 vs Rockies - Nolan McLean (R), 16.0 FPTS",Join the Conversation,projected_fantasy_points,out_of_scope_ui_text,0.2573
amazon_titan_v2_512d,McLean FPTS projection vs Join the Conversation,low,fpts_projection_high,conversation_prompt,"April 26 vs Rockies - Nolan McLean (R), 16.0 FPTS",Join the Conversation,projected_fantasy_points,out_of_scope_ui_text,0.1119
amazon_titan_v2_1024d,McLean FPTS projection vs Join the Conversation,low,fpts_projection_high,conversation_prompt,"April 26 vs Rockies - Nolan McLean (R), 16.0 FPTS",Join the Conversation,projected_fantasy_points,out_of_scope_ui_text,0.0252
spacy_en_core_web_md,Avoid note vs ad text,low,avoid_definition,ad_text,The Avoid tier includes pitchers with terrible matchups or who have been pitching badly and can be left on the bench.,The video player is currently playing an ad. You can skip the ad in 5 sec with a mouse or keyboard.,strategy_note,out_of_scope_ui_text,0.9198
amazon_titan_v2_256d,Avoid note vs ad text,low,avoid_definition,ad_text,The Avoid tier includes pitchers with terrible matchups or who have been pitching badly and can be left on the bench.,The video player is currently playing an ad. You can skip the ad in 5 sec with a mouse or keyboard.,strategy_note,out_of_scope_ui_text,0.2114
amazon_titan_v2_512d,Avoid note vs ad text,low,avoid_definition,ad_text,The Avoid tier includes pitchers with terrible matchups or who have been pitching badly and can be left on the bench.,The video player is currently playing an ad. You can skip the ad in 5 sec with a mouse or keyboard.,strategy_note,out_of_scope_ui_text,0.0904
amazon_titan_v2_1024d,Avoid note vs ad text,low,avoid_definition,ad_text,The Avoid tier includes pitchers with terrible matchups or who have been pitching badly and can be left on the bench.,The video player is currently playing an ad. You can skip the ad in 5 sec with a mouse or keyboard.,strategy_note,out_of_scope_ui_text,0.0733
spacy_en_core_web_md,Scoring rules vs site navigation,low,scoring_rules,site_nav,"ESPN standard scoring: 2 points per win, -2 per loss, 3 per inning pitched, 1 per strikeout, -1 per hit or walk allowed, and -2 per earned run allowed.",More great Fantasy Baseball Analysis: Fantasy Baseball Waiver Wire | Weekly SP Rankings | Pitching Streamers | Two-Start Pitchers | Lineup Analysis | MLB Injury Report.,scoring_rules,out_of_scope_navigation_text,0.7469
amazon_titan_v2_256d,Scoring rules vs site navigation,low,scoring_rules,site_nav,"ESPN standard scoring: 2 points per win, -2 per loss, 3 per inning pitched, 1 per strikeout, -1 per hit or walk allowed, and -2 per earned run allowed.",More great Fantasy Baseball Analysis: Fantasy Baseball Waiver Wire | Weekly SP Rankings | Pitching Streamers | Two-Start Pitchers | Lineup Analysis | MLB Injury Report.,scoring_rules,out_of_scope_navigation_text,0.1613
amazon_titan_v2_512d,Scoring rules vs site navigation,low,scoring_rules,site_nav,"ESPN standard scoring: 2 points per win, -2 per loss, 3 per inning pitched, 1 per strikeout, -1 per hit or walk allowed, and -2 per earned run allowed.",More great Fantasy Baseball Analysis: Fantasy Baseball Waiver Wire | Weekly SP Rankings | Pitching Streamers | Two-Start Pitchers | Lineup Analysis | MLB Injury Report.,scoring_rules,out_of_scope_navigation_text,0.1801
amazon_titan_v2_1024d,Scoring rules vs site navigation,low,scoring_rules,site_nav,"ESPN standard scoring: 2 points per win, -2 per loss, 3 per inning pitched, 1 per strikeout, -1 per hit or walk allowed, and -2 per earned run allowed.",More great Fantasy Baseball Analysis: Fantasy Baseball Waiver Wire | Weekly SP Rankings | Pitching Streamers | Two-Start Pitchers | Lineup Analysis | MLB Injury Report.,scoring_rules,out_of_scope_navigation_text,0.2046
